Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Ship,2,4,3,48,7684,1
D,Ship,3,1,3,1,4872,0
B,Ship,3,4,3,3,5662,0
C,Road,3,5,3,48,3780,1
F,Flight,4,4,5,1,1476,1
F,Ship,2,5,3,8,5643,1
F,Flight,6,4,5,10,5602,0
D,Ship,5,1,4,10,1428,0
C,Road,4,5,2,62,1650,1
B,Road,6,4,4,8,1437,1
D,Ship,5,1,3,7,5870,1
B,Flight,3,5,3,10,5185,1
B,Ship,3,2,3,9,1347,1
D,Ship,3,2,2,10,4391,1
F,Flight,4,1,6,42,1070,1
A,Road,3,1,5,10,1737,0
F,Ship,3,4,4,9,4139,0
A,Ship,3,2,3,6,4636,0
B,Ship,6,4,4,9,1575,0
F,Flight,4,4,3,20,2637,1
A,Road,2,2,3,38,1530,1
D,Ship,6,1,4,2,1071,0
F,Flight,3,5,2,2,4906,1
B,Ship,3,1,3,61,1880,1
D,Road,2,4,6,6,5080,1
F,Ship,5,1,2,8,5218,0
B,Ship,2,5,3,3,1368,0
C,Ship,3,3,3,5,4388,0
C,Road,3,1,3,20,3181,1
A,Road,5,1,5,1,4704,0
C,Road,6,2,4,5,1248,1
D,Ship,2,4,5,4,4668,0
F,Road,5,2,3,8,4680,0
B,Ship,3,2,3,9,5427,0
F,Road,3,4,3,4,3534,1
C,Road,3,3,2,9,4608,0
F,Road,3,1,2,10,4146,1
F,Ship,4,1,2,3,4099,1
C,Ship,3,1,2,18,3346,1
F,Ship,3,1,2,46,1431,1
D,Ship,3,3,5,8,2182,1
D,Ship,6,3,4,9,1368,0
D,Road,4,5,2,2,4472,0
B,Ship,3,1,2,44,2651,1
D,Road,4,2,3,2,4835,1
A,Road,6,3,3,6,2639,1
F,Ship,3,3,6,5,5366,1
F,Road,5,2,3,6,4656,1
F,Ship,2,5,2,41,2546,1
F,Ship,6,5,5,1,5442,0
F,Road,5,1,3,4,5869,1
D,Ship,3,1,5,8,1349,1
F,Road,3,2,2,45,1446,1
D,Ship,5,1,4,4,5505,0
F,Flight,4,4,3,29,2915,1
A,Ship,6,5,4,2,1462,0
A,Flight,3,1,3,9,4404,0
F,Ship,2,3,2,63,2896,1
F,Ship,4,1,3,51,1293,1
A,Road,4,1,6,1,4943,0
B,Flight,2,1,3,1,4537,0
C,Ship,6,5,4,9,1072,0
D,Ship,6,2,4,8,1522,0
D,Ship,4,5,2,19,1940,1
A,Road,5,4,2,48,3743,1
C,Ship,2,5,3,3,4253,1
F,Ship,5,4,2,8,4725,0
B,Flight,4,4,2,37,1447,1
D,Ship,4,5,5,8,1133,0
A,Ship,3,3,3,55,1229,1
B,Flight,3,1,2,45,3332,1
C,Road,5,1,6,2,1650,1
C,Ship,7,4,4,10,1886,1
D,Road,5,4,3,3,4225,0
B,Ship,3,5,2,8,5924,0
F,Road,3,4,10,8,4562,1
D,Ship,5,1,5,8,1150,1
F,Ship,3,2,3,43,2096,1
A,Ship,5,4,5,4,1518,0
F,Ship,5,3,4,5,5870,0
B,Ship,4,5,6,5,4364,1
F,Ship,5,5,4,7,1742,0
F,Ship,4,2,3,4,4935,1
B,Ship,2,3,3,8,5106,1
C,Ship,4,4,5,6,1986,1
F,Ship,5,4,2,20,1908,1
A,Ship,4,3,3,8,5541,0
C,Ship,4,3,2,8,5868,0
F,Ship,5,5,3,9,5807,1
C,Ship,5,4,3,20,3382,1
F,Flight,2,5,3,3,1832,1
B,Flight,6,3,4,4,1476,1
F,Ship,6,2,4,3,1752,0
C,Ship,2,3,2,36,1788,1
F,Flight,4,4,4,2,5857,1
F,Road,6,5,4,2,1581,0
D,Ship,3,1,3,10,5640,0
C,Ship,4,4,3,2,5257,0
D,Road,3,3,2,10,5495,0
F,Ship,3,4,2,8,5294,1
D,Ship,5,2,6,5,1981,1
F,Road,3,5,3,10,5585,0
A,Flight,5,5,5,8,1881,1
A,Road,2,5,2,5,4236,0
D,Ship,3,5,3,16,2334,1
B,Flight,6,5,2,5,4804,1
A,Ship,4,5,3,22,1907,1
B,Ship,3,3,3,17,3387,1
C,Ship,5,1,3,37,3690,1
A,Ship,5,1,5,2,1429,1
F,Flight,4,5,4,29,1262,1
C,Ship,4,3,10,10,5644,0
F,Ship,5,2,4,1,1622,1
F,Ship,5,3,2,61,2025,1
D,Ship,4,3,2,64,1910,1
D,Ship,3,5,2,9,4577,1
A,Road,3,4,3,10,2021,1
A,Flight,4,4,3,12,3279,1
F,Road,3,2,3,8,5783,0
F,Ship,6,2,5,1,4314,0
F,Ship,5,4,6,4,1850,1
F,Ship,5,1,3,11,2073,1
C,Ship,4,1,3,4,5540,0
F,Ship,6,5,4,5,5409,1
C,Ship,4,3,4,3,4750,0
F,Ship,4,1,5,9,1821,1
D,Road,4,3,3,28,1880,1
A,Ship,4,1,2,2,4839,1
A,Ship,5,1,5,10,1818,0
F,Road,4,1,3,6,5836,0
D,Ship,4,5,3,10,4148,0
F,Road,4,3,3,7,5496,0
C,Road,2,5,3,37,1717,1
F,Ship,4,3,2,7,5834,1
A,Ship,2,3,4,10,4798,1
F,Ship,5,4,3,7,5340,0
A,Ship,4,5,2,6,4055,1
D,Ship,6,4,6,7,1117,1
C,Ship,3,5,8,9,4733,1
F,Ship,3,2,3,54,3001,1
A,Ship,4,5,5,7,4063,0
A,Ship,3,3,3,1,4224,0
C,Ship,5,5,5,5,1852,1
B,Ship,5,3,3,6,4037,1
A,Ship,3,1,2,5,5329,1
D,Flight,2,1,3,6,4234,0
F,Ship,4,5,3,45,1059,1
F,Ship,4,4,2,15,1030,1
B,Flight,5,3,5,1,1835,1
D,Ship,6,1,4,5,1431,0
A,Ship,6,4,2,6,5686,0
B,Road,4,5,4,3,5432,1
D,Ship,4,4,2,9,5637,0
F,Ship,3,4,10,2,4336,1
B,Road,6,3,6,1,4632,0
F,Ship,5,2,6,2,1748,1
A,Road,2,1,5,9,1548,1
F,Ship,5,5,7,6,5755,0
B,Ship,4,4,4,2,4690,1
D,Ship,3,5,2,4,5142,0
A,Ship,6,1,4,1,1345,1
B,Ship,5,2,4,59,2885,1
B,Ship,4,4,3,2,4299,1
C,Ship,3,5,2,6,4072,0
F,Ship,4,3,4,5,5177,1
F,Flight,3,3,3,35,1459,1
B,Ship,6,3,5,6,1139,0
D,Road,3,3,3,9,4278,1
F,Ship,5,2,3,6,4257,0
D,Road,3,2,3,12,1212,1
A,Ship,3,4,4,4,5031,0
C,Ship,3,5,3,1,5303,1
F,Ship,5,3,2,48,2481,1
F,Road,5,2,4,9,5922,0
B,Road,3,2,2,5,4769,0
F,Ship,3,4,2,37,1780,1
F,Ship,4,3,3,8,4276,0
F,Flight,3,2,3,9,4731,1
A,Ship,4,4,3,3,5616,0
F,Flight,3,2,3,27,1814,1
B,Ship,3,5,2,8,4552,1
F,Flight,4,2,4,41,1511,1
B,Ship,6,1,2,5,4708,0
B,Ship,3,4,3,26,2299,1
F,Ship,5,1,3,1,5725,0
A,Road,5,3,3,7,5510,1
B,Ship,4,2,3,7,5395,1
D,Ship,3,1,3,52,3336,1
D,Ship,3,4,3,1,4020,1
F,Ship,5,5,5,6,1101,0
F,Flight,3,3,3,9,5895,1
C,Ship,4,2,3,3,4001,0
B,Ship,4,5,3,8,4605,0
F,Ship,3,4,3,4,5996,0
F,Flight,5,4,2,8,5073,0
F,Road,5,2,2,10,5674,0
D,Ship,4,2,4,10,5322,0
A,Road,3,2,2,26,3103,1
D,Flight,4,3,4,19,3838,1
D,Ship,3,3,3,6,4887,0
F,Flight,4,3,3,3,5624,0
B,Ship,6,3,5,10,1254,1
D,Ship,3,1,3,9,4278,0
B,Road,4,5,3,7,4657,0
B,Ship,3,5,3,41,3977,1
B,Ship,4,3,3,2,1095,1
B,Ship,4,1,3,5,5632,0
F,Flight,4,2,3,4,5566,0
C,Ship,4,2,2,8,5871,1
C,Road,6,4,3,7,1455,0
C,Flight,3,5,6,22,2717,1
D,Flight,2,1,3,51,1540,1
B,Ship,3,4,3,6,5503,0
A,Ship,2,1,7,30,1870,1
F,Flight,4,4,2,5,4363,1
F,Flight,3,5,4,10,4092,1
F,Ship,6,5,4,8,1759,1
F,Ship,5,1,5,8,1382,1
F,Flight,3,5,3,1,4161,0
F,Road,5,2,2,5,4154,0
A,Ship,2,5,6,41,2673,1
C,Ship,4,3,6,2,5405,0
D,Ship,3,2,4,3,5527,0
F,Ship,6,3,4,8,1247,0
F,Ship,4,4,4,5,4574,0
B,Ship,4,2,10,7,5820,0
A,Flight,5,2,3,5,5946,0
B,Road,5,5,3,2,5800,0
A,Road,4,4,3,17,3715,1
C,Flight,4,1,2,4,5225,0
F,Ship,5,1,2,35,1204,1
A,Ship,5,4,2,20,1549,1
C,Ship,3,4,3,10,5291,1
C,Flight,5,1,4,4,5687,1
F,Ship,3,3,3,7,5427,1
D,Ship,5,5,2,3,4348,0
C,Ship,5,4,4,24,3443,1
D,Ship,6,5,7,7,5216,1
F,Flight,4,3,3,3,5669,0
B,Ship,3,3,3,8,4927,0
D,Ship,4,1,3,10,4906,0
F,Road,4,4,5,2,1473,0
C,Ship,4,2,3,26,2449,1
D,Road,3,2,5,48,2622,1
B,Ship,3,1,2,9,5932,0
F,Ship,5,5,3,1,5520,0
C,Ship,4,2,2,55,3416,1
F,Flight,4,1,7,4,5102,0
F,Ship,4,2,3,22,1294,1
A,Ship,5,2,3,2,4836,0
D,Flight,4,2,3,44,1233,1
F,Flight,3,5,2,5,4933,1
F,Ship,4,1,2,6,1114,1
B,Road,3,5,3,1,5810,1
F,Ship,5,1,3,47,1954,1
F,Ship,4,5,2,62,2267,1
B,Ship,4,2,2,10,4361,0
B,Flight,3,4,4,2,4052,0
F,Flight,4,4,2,9,4106,0
D,Ship,7,4,4,7,1880,0
B,Ship,3,4,4,10,4571,0
D,Flight,3,3,3,7,4977,1
B,Ship,3,4,8,6,4146,0
B,Ship,4,4,3,10,5674,1
D,Ship,3,1,3,10,5121,1
F,Ship,3,2,7,9,5313,1
C,Ship,4,5,2,8,4047,0
F,Ship,5,3,2,8,4006,0
D,Flight,3,3,4,9,5631,1
F,Ship,3,2,5,1,5993,0
B,Ship,5,2,2,54,1091,1
B,Ship,4,3,2,10,1179,1
F,Flight,5,3,5,3,1851,0
B,Ship,4,4,2,41,3955,1
A,Ship,5,2,3,7,5980,0
C,Ship,2,4,2,13,1240,1
A,Ship,5,1,3,10,5289,0
D,Road,3,3,3,2,5205,1
C,Ship,3,1,2,9,5158,0
C,Flight,2,2,3,9,4717,0
D,Ship,4,1,3,25,1152,1
C,Ship,4,4,2,9,4932,1
D,Ship,7,5,4,1,1269,1
C,Ship,5,5,8,39,2103,1
F,Ship,4,5,2,6,4660,1
F,Road,4,2,2,5,4635,0
B,Flight,2,1,2,6,4382,1
D,Ship,4,1,2,3,4752,0
A,Ship,3,4,3,63,1611,1
C,Ship,4,1,4,5,5875,1
F,Ship,3,2,3,10,5768,1
F,Road,3,2,4,8,5545,0
F,Flight,4,1,3,1,5749,0
D,Ship,3,3,3,5,4976,1
F,Flight,4,2,2,2,5604,1
F,Ship,6,5,3,1,5399,1
A,Ship,4,1,4,22,2066,1
B,Road,5,3,5,19,2988,1
F,Ship,3,2,2,9,4671,0
D,Ship,3,2,2,7,5231,0
A,Ship,2,5,2,50,3859,1
F,Ship,4,1,5,1,1472,0
F,Road,6,4,4,10,1811,1
C,Flight,6,1,4,1,4581,1
A,Road,3,1,2,4,3621,1
D,Flight,3,2,4,1,4184,1
A,Ship,4,5,2,34,2258,1
A,Ship,2,5,4,4,5255,1
C,Ship,4,5,3,38,3139,1
D,Ship,3,4,3,56,3654,1
A,Flight,2,2,4,5,5382,0
F,Flight,2,3,3,9,5653,0
F,Flight,5,4,5,8,1549,0
D,Ship,4,1,3,5,4523,0
C,Ship,4,2,2,17,3358,1
D,Ship,4,4,4,2,5908,1
A,Ship,4,1,3,6,5818,0
D,Flight,6,1,4,23,2455,1
B,Ship,6,4,5,8,4388,0
F,Ship,3,2,3,5,2040,1
F,Road,5,1,3,5,5146,1
B,Ship,6,5,5,8,4777,0
F,Ship,5,5,3,5,5914,1
B,Ship,4,4,3,62,3478,1
A,Ship,2,2,6,1,4165,1
A,Road,4,2,7,5,5361,0
F,Road,4,2,10,5,5470,0
A,Road,4,5,3,5,3718,1
B,Road,5,5,3,6,4096,0
B,Ship,3,3,2,6,4170,1
F,Road,4,5,2,22,1195,1
F,Ship,5,3,5,6,1681,0
C,Road,4,3,3,7,5718,0
F,Ship,4,5,10,7,5524,1
D,Ship,4,3,3,8,4701,1
D,Ship,4,4,2,25,3705,1
B,Flight,6,3,2,7,4732,0
A,Flight,5,2,2,9,4965,0
C,Ship,4,3,3,8,4493,0
F,Ship,5,1,4,37,1658,1
C,Ship,3,1,3,9,1803,1
F,Ship,5,1,3,6,4343,1
D,Ship,4,1,6,9,1678,1
B,Ship,6,4,4,1,1246,1
A,Ship,4,5,4,6,4652,0
C,Ship,3,3,2,6,5612,0
B,Ship,3,3,4,56,1440,1
F,Ship,5,4,3,5,4711,1
D,Flight,4,1,5,9,4396,0
B,Ship,4,5,2,3,5270,1
C,Ship,3,1,3,6,5319,0
C,Ship,3,5,2,8,5881,1
C,Ship,6,1,5,5,5323,1
D,Ship,4,5,5,10,3537,1
A,Flight,4,5,5,2,5840,0
D,Flight,4,5,3,21,2688,1
D,Ship,4,4,3,7,5297,1
F,Flight,6,3,5,5,4567,0
C,Flight,5,3,2,3,1140,1
D,Flight,7,2,4,1,1480,0
F,Ship,4,4,2,9,5306,1
F,Road,5,2,3,34,3885,1
C,Ship,3,2,3,7,4890,0
D,Ship,6,2,3,4,5970,0
C,Ship,3,3,2,2,4836,1
D,Ship,3,4,3,6,4412,0
F,Ship,3,2,2,3,4722,1
B,Road,4,1,8,6,5667,1
F,Ship,5,5,3,8,4227,0
F,Ship,4,3,2,8,4576,0
F,Ship,3,2,3,4,4683,0
F,Ship,5,5,5,6,1630,0
F,Ship,4,2,8,10,5995,0
F,Road,4,3,3,5,5602,0
B,Flight,5,1,5,8,1441,0
F,Ship,3,4,4,10,5425,0
B,Flight,2,1,4,6,4800,0
F,Ship,3,2,4,7,4486,0
B,Ship,5,2,3,19,2526,1
C,Ship,3,5,3,10,5775,0
A,Ship,3,4,2,32,1539,1
B,Ship,6,1,5,9,1311,1
C,Flight,4,1,3,8,4974,1
D,Ship,6,5,2,7,4724,0
C,Flight,3,2,2,4,4074,0
D,Ship,3,4,3,7,5336,1
A,Ship,3,5,2,23,2426,1
C,Flight,3,1,2,9,4316,0
B,Ship,3,2,2,8,5608,0
B,Road,5,2,3,47,1023,1
F,Ship,4,1,4,3,5318,1
F,Ship,3,2,2,1,4021,1
A,Ship,4,3,2,8,5690,1
F,Ship,5,2,2,2,5077,0
D,Road,4,4,2,6,2718,1
C,Flight,4,4,3,4,1467,1
F,Flight,7,5,4,6,1014,0
A,Flight,3,1,4,9,5211,1
F,Ship,5,3,5,5,1820,0
D,Road,3,3,2,9,2069,1
F,Road,5,3,7,6,5285,1
B,Ship,4,2,3,63,1220,1
D,Ship,3,4,3,9,5470,0
F,Ship,6,5,5,55,1078,1
B,Flight,4,4,5,2,1651,0
A,Ship,3,4,3,32,1370,1
A,Ship,4,2,5,3,1473,1
D,Ship,3,2,3,5,4304,1
F,Flight,4,5,4,12,1038,1
D,Road,4,4,2,4,5825,0
D,Ship,3,5,4,62,1477,1
F,Road,4,3,3,7,4104,1
D,Flight,4,4,2,7,5938,0
D,Ship,4,2,2,7,5241,1
D,Ship,3,2,2,7,4692,0
F,Ship,4,1,4,10,4632,0
A,Ship,4,2,3,43,3273,1
F,Ship,3,5,2,8,5848,0
B,Ship,2,5,4,2,4636,1
C,Ship,4,3,2,10,4486,1
D,Ship,3,4,2,8,5629,1
A,Ship,5,1,5,6,1836,1
B,Ship,3,3,3,9,5856,0
B,Ship,5,5,3,27,3430,1
F,Ship,4,4,3,10,4680,0
A,Ship,3,2,2,2,5033,1
F,Road,5,5,4,12,2225,1
B,Flight,4,2,10,10,4619,0
A,Ship,6,4,3,9,5920,0
A,Flight,4,2,6,9,1673,1
D,Ship,6,1,3,5,4435,1
C,Road,5,5,2,36,3381,1
A,Ship,3,4,2,7,4663,0
A,Ship,3,2,4,3,4199,1
C,Flight,7,4,4,3,1805,0
D,Ship,3,1,4,25,1498,1
F,Ship,3,2,6,1,4856,0
B,Ship,2,3,4,9,5390,0
B,Road,4,5,3,7,4114,0
A,Ship,4,2,3,62,1944,1
C,Ship,5,4,4,10,1441,1
D,Road,4,2,6,6,4904,0
D,Flight,3,2,2,4,5738,0
D,Road,5,4,5,9,1549,1
F,Ship,3,3,6,61,2298,1
B,Road,3,5,2,28,3936,1
F,Ship,4,1,3,7,5317,0
F,Ship,6,3,5,5,4871,0
A,Road,5,5,5,4,1482,0
A,Ship,4,3,3,46,2904,1
B,Ship,4,1,2,5,5249,0
B,Flight,6,5,4,9,1413,0
A,Road,3,3,5,9,5470,0
D,Ship,4,3,3,6,1261,1
F,Flight,5,1,3,40,1062,1
F,Flight,5,1,4,19,2193,1
F,Ship,4,4,3,5,5399,0
F,Ship,2,3,2,64,1689,1
F,Ship,2,2,4,8,5878,1
F,Ship,4,5,3,43,1709,1
F,Flight,5,2,2,19,1311,1
B,Ship,4,3,6,9,5903,0
C,Ship,4,2,3,2,5277,0
F,Ship,3,2,2,19,2196,1
A,Ship,4,3,2,57,2078,1
F,Ship,3,4,6,9,4558,0
A,Ship,3,4,3,23,3499,1
D,Ship,2,2,2,14,3751,1
F,Ship,5,2,2,8,4047,1
B,Road,3,4,2,1,3398,1
F,Ship,3,4,4,4,5801,0
F,Flight,2,4,3,7,5736,0
F,Road,4,3,2,6,5149,1
B,Ship,6,3,4,7,1079,0
B,Flight,5,4,5,1,1778,1
C,Ship,3,5,4,59,1481,1
A,Ship,4,3,3,7,5976,0
D,Ship,3,3,3,7,4062,0
F,Road,4,2,5,6,1827,1
C,Flight,5,1,5,3,1574,1
C,Ship,5,1,3,10,1347,1
B,Ship,2,3,2,56,1491,1
F,Ship,6,2,10,4,4490,0
C,Ship,4,3,2,2,4041,1
A,Ship,4,2,3,10,5354,0
F,Ship,5,4,4,5,5444,1
D,Ship,3,5,3,6,4295,1
A,Ship,6,5,4,13,3676,1
A,Ship,4,1,3,9,4832,0
F,Road,5,5,4,38,2797,1
C,Road,3,2,2,9,4532,1
F,Ship,5,3,2,30,1068,1
A,Ship,4,4,4,7,4041,1
B,Ship,3,4,2,10,5107,1
F,Ship,4,1,4,15,1391,1
B,Road,5,4,4,7,4200,1
C,Road,5,5,5,34,1008,1
F,Ship,4,3,5,2,4823,1
F,Ship,4,5,3,1,4585,1
F,Ship,5,2,5,4,1030,0
B,Flight,3,3,2,2,5661,0
A,Flight,5,4,2,5,4554,1
D,Ship,3,4,3,5,4022,0
F,Ship,3,1,3,5,5154,0
F,Ship,4,4,3,2,5975,1
F,Flight,5,2,3,1,4351,0
F,Ship,2,5,2,9,5898,1
D,Ship,4,5,8,38,1095,1
A,Flight,6,3,4,8,1547,0
B,Road,4,2,2,9,4360,0
C,Ship,5,5,2,3,4669,0
B,Ship,4,1,5,7,1899,1
C,Ship,3,2,3,59,1307,1
D,Ship,6,4,4,4,1662,1
F,Ship,3,3,3,10,4387,0
F,Ship,3,3,4,7,5716,1
B,Road,3,2,2,32,3274,1
A,Ship,4,2,3,3,5265,1
A,Road,3,5,3,1,1366,1
C,Ship,4,1,4,10,4711,0
F,Ship,4,5,4,6,5027,0
A,Ship,3,5,3,1,4623,0
D,Ship,4,3,3,11,2655,1
C,Ship,3,4,2,29,3142,1
F,Flight,3,4,4,1,5533,1
D,Ship,4,4,2,8,4348,1
F,Ship,4,2,3,7,4874,1
A,Ship,3,4,2,35,1183,1
F,Road,6,5,3,2,5761,1
F,Ship,4,3,3,12,3922,1
D,Ship,4,3,3,2,5330,1
B,Road,4,1,2,8,4600,1
F,Flight,3,2,2,8,4562,1
D,Ship,6,1,3,1,4346,1
F,Flight,6,1,4,5,4592,1
F,Ship,5,1,5,5,1916,1
C,Ship,6,1,4,7,1007,0
D,Ship,4,5,2,9,5055,1
C,Ship,3,5,4,4,5330,0
A,Flight,4,1,3,7,4552,1
F,Ship,4,5,4,4,1595,1
B,Ship,3,2,3,34,1159,1
C,Ship,4,2,2,7,4955,1
B,Ship,4,5,2,3,5546,0
B,Road,3,5,6,30,2751,1
F,Ship,5,1,6,3,1014,0
C,Ship,4,1,4,22,3950,1
C,Ship,3,1,3,7,5140,1
C,Ship,7,4,5,6,1334,0
F,Road,4,5,5,1,1991,1
F,Flight,4,4,4,1,4163,1
F,Ship,6,5,4,9,1197,0
D,Ship,5,1,5,3,1906,0
A,Ship,3,4,8,56,3337,1
F,Ship,6,4,4,2,1749,0
B,Ship,5,5,5,10,1289,1
C,Flight,3,3,2,10,5749,0
A,Ship,3,5,3,6,1228,1
A,Road,2,4,3,37,2555,1
B,Ship,4,2,8,2,5012,1
F,Ship,4,4,5,54,1203,1
F,Ship,3,1,3,1,3738,1
A,Ship,4,1,2,53,1251,1
F,Ship,3,2,3,8,4994,0
B,Ship,3,4,2,2,4975,1
B,Ship,4,3,3,6,2568,1
B,Ship,4,3,3,2,5208,0
D,Road,4,4,7,8,5069,0
B,Ship,4,5,4,6,4705,1
D,Ship,6,2,4,7,1046,0
F,Road,3,2,5,9,5744,1
D,Ship,4,5,5,6,1754,0
F,Ship,6,1,4,5,1791,1
A,Ship,5,3,2,19,3920,1
F,Ship,4,5,3,6,4848,1
F,Road,5,3,5,10,1951,0
F,Ship,5,2,3,6,5212,0
B,Ship,3,2,3,8,4164,1
B,Flight,5,5,4,2,4188,0
C,Ship,4,2,3,3,5284,0
C,Ship,3,1,10,1,4459,0
C,Ship,3,4,2,1,4991,1
B,Ship,3,4,3,8,5337,1
F,Road,4,3,7,4,4499,1
B,Road,3,5,2,6,4523,1
B,Ship,4,4,2,8,1386,1
A,Flight,5,1,5,4,1097,0
A,Ship,3,1,4,47,1840,1
A,Ship,6,2,3,54,1332,1
F,Flight,4,2,3,14,3413,1
F,Flight,3,5,3,10,4224,1
D,Ship,4,5,2,10,4552,0
A,Ship,3,4,3,10,4910,0
B,Flight,4,2,5,6,2126,1
B,Ship,4,4,2,2,4633,1
C,Ship,4,3,5,9,5648,0
A,Ship,4,1,5,6,1723,0
F,Ship,5,3,4,23,3981,1
F,Road,3,2,3,25,2334,1
C,Ship,5,1,3,9,4895,0
A,Ship,2,1,3,1,5929,0
F,Flight,5,2,3,1,5451,0
F,Ship,2,2,3,53,2980,1
B,Road,4,2,3,4,5919,0
D,Ship,3,2,3,6,2127,1
F,Flight,5,2,2,55,3894,1
D,Road,2,1,3,58,1930,1
A,Ship,3,1,5,15,1242,1
F,Ship,5,1,2,7,5165,0
D,Ship,3,2,2,8,5889,0
D,Ship,3,5,3,10,5333,0
C,Ship,4,3,2,9,5940,0
C,Ship,3,3,6,2,5748,1
C,Road,4,3,2,24,1292,1
A,Ship,5,2,3,44,3706,1
C,Road,4,4,3,10,4289,0
C,Ship,4,5,4,3,5470,0
F,Road,4,1,4,1,5323,0
C,Ship,5,5,3,1,4274,0
A,Ship,4,1,2,2,4529,0
A,Road,3,4,3,4,4482,0
F,Ship,3,4,3,2,5512,0
F,Ship,6,3,3,10,1826,0
B,Ship,3,4,3,3,2169,1
A,Flight,6,5,4,8,1689,0
A,Ship,3,3,3,61,3096,1
B,Ship,6,3,4,3,1661,0
A,Ship,4,2,3,26,1863,1
F,Road,4,5,2,31,2415,1
D,Ship,3,1,4,8,5971,0
F,Ship,4,5,4,10,1694,1
D,Ship,4,3,5,5,1395,0
C,Ship,3,5,4,8,5087,1
D,Ship,3,5,6,9,4195,0
A,Ship,3,5,2,1,4913,0
D,Ship,3,3,3,23,1281,1
C,Ship,7,1,4,2,1516,0
A,Ship,3,5,3,10,5978,0
C,Ship,2,3,2,45,1965,1
D,Ship,4,2,5,8,1559,1
B,Ship,2,2,5,6,4196,0
F,Road,4,1,3,55,2686,1
A,Ship,4,3,4,2,1830,0
A,Ship,5,1,6,1,1021,0
F,Ship,3,5,2,10,4200,0
A,Ship,4,1,2,2,5685,0
F,Road,6,4,4,2,1752,1
F,Ship,4,4,2,7,4151,0
C,Ship,2,4,3,3,4076,0
F,Ship,3,2,2,6,4033,0
D,Ship,5,4,3,10,4663,0
C,Flight,4,1,3,5,5055,0
C,Ship,4,3,3,7,5935,0
B,Flight,4,5,3,7,4835,0
B,Ship,4,2,3,2,5769,0
F,Ship,4,2,3,48,1393,1
C,Ship,5,2,2,9,4483,0
C,Flight,3,3,3,8,4568,0
A,Flight,4,5,2,15,2381,1
C,Flight,4,4,5,3,1782,0
F,Ship,5,3,6,3,4025,1
C,Ship,4,2,3,64,2198,1
F,Ship,5,1,3,47,2657,1
D,Ship,3,1,3,8,4367,0
A,Ship,6,5,4,5,1264,1
F,Ship,2,2,3,60,2053,1
B,Ship,6,1,5,53,3352,1
B,Ship,5,3,5,12,2722,1
B,Road,5,1,2,2,4987,1
B,Ship,4,3,3,5,4206,0
F,Ship,4,5,6,5,5659,1
F,Flight,3,5,4,4,2769,1
A,Ship,5,4,3,1,5011,0
D,Ship,4,3,10,10,2093,1
A,Flight,2,4,4,6,1803,0
A,Road,4,4,3,27,3967,1
D,Ship,4,1,4,1,5476,0
A,Ship,5,5,3,47,2256,1
D,Ship,5,4,3,13,1317,1
B,Ship,5,1,5,4,1196,0
A,Road,4,1,6,3,1830,1
A,Ship,3,3,3,6,5749,1
F,Road,4,5,3,64,3812,1
D,Road,4,5,3,5,5734,1
F,Ship,4,3,6,10,1345,1
B,Ship,5,2,5,6,1365,1
C,Ship,5,2,3,3,4599,0
F,Road,2,4,6,5,3986,1
F,Ship,3,4,3,8,5215,0
A,Ship,4,5,3,60,2317,1
C,Ship,4,5,2,1,4532,0
C,Ship,3,2,10,8,5811,1
F,Ship,6,5,4,6,1005,1
C,Ship,4,4,3,37,3026,1
C,Ship,4,5,3,5,4735,0
F,Flight,4,2,2,3,4108,1
F,Ship,5,3,6,10,4986,0
D,Ship,4,5,6,46,1882,1
D,Ship,5,2,5,2,1061,1
D,Ship,3,4,3,43,1095,1
B,Ship,2,4,2,60,1787,1
F,Ship,4,1,2,1,5635,0
D,Ship,3,4,2,15,3981,1
F,Road,3,4,3,5,5306,0
F,Ship,3,4,2,65,3943,1
C,Ship,3,4,2,45,3448,1
D,Flight,6,5,4,2,1192,0
F,Flight,6,4,3,10,2554,1
F,Ship,5,2,3,1,5189,1
F,Ship,5,2,5,10,5111,0
F,Ship,3,1,2,58,3027,1
B,Ship,4,5,2,55,1457,1
B,Flight,6,4,4,7,1831,0
B,Ship,5,1,2,4,4242,1
B,Ship,3,2,3,44,2896,1
D,Ship,5,3,2,49,2581,1
C,Ship,2,5,6,41,1772,1
F,Ship,4,4,5,5,1117,0
A,Ship,5,2,8,10,4583,0
F,Road,4,1,2,5,5707,1
D,Flight,5,2,2,46,3942,1
B,Ship,4,3,6,3,1155,0
B,Ship,2,1,2,7,5875,0
D,Flight,3,4,3,10,4925,1
B,Ship,2,2,3,5,5999,1
B,Ship,3,5,3,6,5319,0
F,Ship,3,5,3,7,4135,0
A,Ship,6,3,4,3,4496,1
D,Ship,2,5,3,6,1032,0
C,Ship,5,5,2,4,4289,0
C,Flight,6,3,4,4,1650,0
C,Ship,4,3,4,40,3106,1
F,Ship,3,3,2,6,5994,1
B,Ship,3,3,2,8,5382,0
B,Ship,5,5,3,9,5695,0
F,Ship,4,3,5,4,1668,0
C,Ship,4,1,3,3,2546,1
B,Road,5,2,6,10,4087,1
C,Ship,2,3,3,62,1124,1
